Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
Employed,25-34,High School,Technology,Urban,High,16.0,40700.0,1/1/2023
Employed,18-24,Diploma, Fintech,Rural,Moderate,16.0,17500.0,1/2/2023
Employed,25-34,High School,Retail,Delhi,Low,16.0,77600.0,1/3/2023
Unemployed,18-24,Masters,Retail,Urban,Low,30.0,100200.0,1/4/2023
Employed,45-54,Diploma, Fintech,Hyderabad,Low,9.0,19500.0,1/5/2023
Unemployed,25-34,Phd,Tech ,Bangalore,High,16.0,54500.0,1/6/2023
Employed,35-44,Master,Retail,Mumbai,Moderate,20.0,136500.0,1/7/2023
Unemployed,35-44,Master,Retail,Rural,Low,28.0,25300.0,1/8/2023
Employed,35-44,Ph.D,Retail,Not Provided,Medium,0.0,103600.0,1/9/2023
Unemployed,55+,Ph.D,Tech ,Not Provided,High,3.0,126500.0,1/10/2023
Unemployed,45-54,Master,Retail,Bangalore,High,16.0,73400.0,1/11/2023
Unemployed,45-54,High School,Technology,Delhi,High,16.0,27000.0,1/12/2023
Unemployed,35-44,High School,Retail,Delhi,High,16.0,76886.0,1/13/2023
Employed,18-24,Phd,Tech ,Rural,Low,16.0,121700.0,1/14/2023
Employed,45-54,High School,Health,Urban,Low,16.0,132100.0,1/15/2023
Unemployed,18-24,Bachelors,Healthcare,Bangalore,Moderate,18.0,28700.0,1/16/2023
Employed,25-34,High School,Retail,Urban,Low,16.0,109300.0,1/17/2023
Employed,18-24,Ph.D,Tech ,Rural,High,6.0,136000.0,1/18/2023
Unemployed,25-34,Not Provided, Fintech,Rural,Low,16.0,62400.0,1/19/2023
Employed,18-24,Not Provided,Retail,Delhi,Moderate,0.0,101100.0,1/20/2023
Unemployed,35-44,High School,Retail,Hyderabad,Low,16.0,108000.0,1/21/2023
Unemployed,18-24,Not Provided,Health,Delhi,Medium,5.0,128000.0,1/22/2023
Employed,35-44,Bachelors,Health,Hyderabad,High,5.0,125000.0,1/23/2023
Employed,18-24,Masters,Retail,Delhi,High,16.0,76886.0,1/24/2023
Unemployed,25-34,Ph.D,Technology,Hyderabad,Moderate,24.0,107700.0,1/25/2023
Unemployed,18-24,Master,Health,Bangalore,Low,18.0,76886.0,1/26/2023
Employed,18-24,Not Provided,Tech ,Rural,Medium,16.0,59000.0,1/27/2023
Unemployed,18-24,Not Provided,Healthcare,Delhi,Medium,12.0,132200.0,1/28/2023
Unemployed,35-44,Bachelors,Education,Suburban,High,22.0,80800.0,1/29/2023
Employed,18-24,Master,Health,Urban,Low,15.0,13300.0,1/30/2023
Unemployed,18-24,Not Provided,Health,Not Provided,High,16.0,23500.0,1/31/2023
Unemployed,25-34,High School,Technology,Hyderabad,High,16.0,13100.0,2/1/2023
Employed,25-34,High School,Finance,Urban,High,2.0,134500.0,2/2/2023
Unemployed,45-54,Phd,Retail,Urban,Low,8.0,86800.0,2/3/2023
Employed,18-24,Masters,Finance,Not Provided,Medium,16.0,31200.0,2/4/2023
Employed,55+,Not Provided, Fintech,Not Provided,Low,16.0,106900.0,2/5/2023
Employed,18-24,Ph.D,Retail,Bangalore,High,16.0,93300.0,2/6/2023
Employed,18-24,High School, Fintech,Not Provided,Low,16.0,73500.0,2/7/2023
Unemployed,25-34,Diploma,Healthcare,Not Provided,High,9.0,21500.0,2/8/2023
Unemployed,18-24,High School,Finance,Not Provided,Medium,16.0,76886.0,2/9/2023
Employed,45-54,High School,Health,Not Provided,Low,3.0,76886.0,2/10/2023
Employed,25-34,Bachelor'S, Fintech,Delhi,Low,25.0,7700.0,2/11/2023
Unemployed,45-54,Masters,Tech ,Hyderabad,Low,10.0,12900.0,2/12/2023
Employed,25-34,Phd,Retail,Bangalore,Moderate,1.0,31800.0,2/13/2023
Employed,25-34,High School,Health,Hyderabad,Medium,11.0,97900.0,2/14/2023
Unemployed,18-24,Phd, Fintech,Rural,Moderate,4.0,14200.0,2/15/2023
Unemployed,25-34,Phd,Retail,Suburban,High,17.0,106500.0,2/16/2023
Employed,25-34,Diploma,Education,Delhi,Low,16.0,39500.0,2/17/2023
Employed,55+,Master,Retail,Not Provided,High,30.0,126600.0,2/18/2023
Unemployed,18-24,Phd,Retail,Delhi,High,7.0,15700.0,2/19/2023
Employed,35-44,Not Provided,Finance,Delhi,High,27.0,115700.0,2/20/2023
Employed,18-24,High School,Retail,Mumbai,Low,16.0,18800.0,2/21/2023
Employed,45-54,Bachelors,Technology,Urban,Low,16.0,127400.0,2/22/2023
Employed,18-24,Ph.D,Finance,Mumbai,High,26.0,21600.0,2/23/2023
Unemployed,45-54,Masters,Healthcare,Delhi,Moderate,6.0,42100.0,2/24/2023
Employed,25-34,Masters,Education,Urban,Moderate,28.0,137400.0,2/25/2023
Employed,25-34,High School,Health,Bangalore,Low,16.0,76886.0,2/26/2023
Unemployed,18-24,High School,Retail,Suburban,High,16.0,83000.0,2/27/2023
Unemployed,18-24,Master,Health,Delhi,Low,24.0,126300.0,2/28/2023
Employed,25-34,Phd,Finance,Suburban,High,16.0,76886.0,3/1/2023
Unemployed,55+,Diploma,Retail,Suburban,Moderate,16.0,26300.0,3/2/2023
Unemployed,25-34,Masters,Education,Mumbai,Low,24.0,78900.0,3/3/2023
Unemployed,18-24,Diploma, Fintech,Not Provided,High,16.0,51000.0,3/4/2023
Employed,18-24,Phd,Technology,Urban,Moderate,16.0,48900.0,3/5/2023
Employed,45-54,Diploma,Retail,Urban,Moderate,16.0,113200.0,3/6/2023
Unemployed,18-24,Masters,Technology,Rural,Moderate,18.0,76886.0,3/7/2023
Unemployed,18-24,Ph.D,Retail,Not Provided,Moderate,16.0,76886.0,3/8/2023
Unemployed,45-54,Bachelor'S,Finance,Suburban,Moderate,17.0,57200.0,3/9/2023
Employed,45-54,Diploma,Health,Urban,High,16.0,84000.0,3/10/2023
Employed,25-34,Not Provided,Retail,Rural,Low,16.0,63700.0,3/11/2023
Unemployed,25-34,Ph.D,Retail,Bangalore,Low,16.0,90500.0,3/12/2023
Employed,35-44,High School,Retail,Bangalore,Moderate,15.0,33400.0,3/13/2023
Employed,25-34,Ph.D, Fintech,Bangalore,Low,12.0,76886.0,3/14/2023
Unemployed,45-54,Diploma, Fintech,Rural,High,20.0,130700.0,3/15/2023
Unemployed,18-24,High School,Retail,Delhi,Medium,16.0,90000.0,3/16/2023
Unemployed,25-34,High School,Retail,Urban,High,27.0,142200.0,3/17/2023
Unemployed,18-24,Masters,Finance,Suburban,Low,16.0,125800.0,3/18/2023
Employed,25-34,Bachelors,Technology,Urban,Medium,16.0,76886.0,3/19/2023
Unemployed,35-44,High School,Education,Mumbai,High,16.0,100200.0,3/20/2023
Unemployed,18-24,Master,Tech ,Suburban,Low,16.0,140200.0,3/21/2023
Employed,25-34,Bachelor'S,Education,Delhi,Low,16.0,17900.0,3/22/2023
Employed,25-34,Bachelors,Health,Hyderabad,High,22.0,79100.0,3/23/2023
Unemployed,18-24,Masters,Tech ,Rural,Low,16.0,76886.0,3/24/2023
Employed,18-24,High School,Health,Suburban,Medium,4.0,46100.0,3/25/2023
Employed,25-34,Diploma,Finance,Mumbai,High,26.0,120100.0,3/26/2023
Employed,55+,Bachelors,Tech ,Bangalore,Moderate,16.0,135100.0,3/27/2023
Unemployed,55+,Bachelors,Retail,Delhi,Low,16.0,56300.0,3/28/2023
Unemployed,25-34,Phd,Retail,Suburban,High,16.0,105400.0,3/29/2023
Employed,55+,Bachelors, Fintech,Delhi,High,12.0,148700.0,3/30/2023
Employed,35-44,Not Provided, Fintech,Hyderabad,Low,26.0,88400.0,3/31/2023
Employed,45-54,Diploma,Finance,Bangalore,High,16.0,124600.0,4/1/2023
Employed,35-44,Bachelor'S, Fintech,Hyderabad,Medium,20.0,19000.0,4/2/2023
Employed,35-44,Master,Retail,Bangalore,High,21.0,66200.0,4/3/2023
Employed,18-24,Phd,Education,Mumbai,High,16.0,81600.0,4/4/2023
Employed,25-34,High School,Health,Urban,Low,16.0,76886.0,4/5/2023
Unemployed,25-34,Ph.D, Fintech,Hyderabad,Low,26.0,76886.0,4/6/2023
Employed,25-34,Diploma,Healthcare,Hyderabad,Medium,16.0,76886.0,4/7/2023
Employed,25-34,Ph.D,Retail,Urban,High,2.0,8900.0,4/8/2023
Unemployed,25-34,Diploma,Retail,Hyderabad,High,16.0,124300.0,4/9/2023
Employed,45-54,Ph.D,Health,Not Provided,Low,12.0,141400.0,4/10/2023
Employed,18-24,Phd,Tech ,Bangalore,High,16.0,50600.0,4/11/2023
Employed,45-54,Not Provided,Technology,Delhi,Medium,25.0,76500.0,4/12/2023
Unemployed,25-34,High School,Retail,Mumbai,Moderate,16.0,76886.0,4/13/2023
